Interchange_Name,Highway_Name,Mile_Marker,Latitude,Longitude,Permalink
IC_U20_99,US-20,99,41.666783236909886,-85.88752096475407,https://www.waze.com/editor?env=usa&lat=41.666783236909886&lon=-85.88752096475407&zoom=5
IC_S3_134,IN-3,134,40.192875163981796,-85.33615124455949,https://www.waze.com/editor?env=usa&lat=40.192875163981796&lon=-85.33615124455949&zoom=5
IC_U20_30,US-20,30,41.635347267890815,-87.05867811398097,https://www.waze.com/editor?env=usa&lat=41.635347267890815&lon=-87.05867811398097&zoom=5
IC_S3_138,IN-3,138,40.244660534143925,-85.36619129570728,https://www.waze.com/editor?env=usa&lat=40.244660534143925&lon=-85.36619129570728&zoom=5
IC_U12_8,US-12,8,41.63612579308297,-87.4318696512933,https://www.waze.com/editor?env=usa&lat=41.63612579308297&lon=-87.4318696512933&zoom=5
IC_U12_29,US-12,29,41.643658398198966,-87.06255443816359,https://www.waze.com/editor?env=usa&lat=41.643658398198966&lon=-87.06255443816359&zoom=5
IC_S9_131,IN-9,131,40.90501077818041,-85.48148154942551,https://www.waze.com/editor?env=usa&lat=40.90501077818041&lon=-85.48148154942551&zoom=5
IC_S15_59,IN-15,59,41.266452948350654,-85.85260866014332,https://www.waze.com/editor?env=usa&lat=41.266452948350654&lon=-85.85260866014332&zoom=5
IC_U6_27,US-6,27,41.54991125375908,-87.04625614731349,https://www.waze.com/editor?env=usa&lat=41.54991125375908&lon=-87.04625614731349&zoom=5
IC_S3_133,IN-3,133,40.178400309143775,-85.33634340250254,https://www.waze.com/editor?env=usa&lat=40.178400309143775&lon=-85.33634340250254&zoom=5
IC_U6_70,US-6,70,41.44977613867018,-86.29226160116878,https://www.waze.com/editor?env=usa&lat=41.44977613867018&lon=-86.29226160116878&zoom=5
IC_U6_78,US-6,78,41.46070137555882,-86.15625941829973,https://www.waze.com/editor?env=usa&lat=41.46070137555882&lon=-86.15625941829973&zoom=5
IC_U30_90,US-30,90,41.266452948350654,-85.85260866014332,https://www.waze.com/editor?env=usa&lat=41.266452948350654&lon=-85.85260866014332&zoom=5
IC_U24_115,US-24,115,40.90501077818041,-85.48148154942551,https://www.waze.com/editor?env=usa&lat=40.90501077818041&lon=-85.48148154942551&zoom=5
IC_S26_78,IN-26,78,40.41926584172093,-86.09212671607563,https://www.waze.com/editor?env=usa&lat=40.41926584172093&lon=-86.09212671607563&zoom=5
